,year,month,day,hour,minute,sec,N,latitude,longitude,depth,magnitude
130,2008,2,1,2,58,34,130,44.71043,-111.14036,4.124,0.9106446728772716
131,2008,2,1,4,50,25,131,44.71037,-111.14022,4.126,1.144729152496417
132,2008,2,1,11,49,23,132,44.71043,-111.14041,4.15,1.0768138660245818
133,2008,2,1,16,28,29,133,44.71054,-111.14093,4.06,0.8471012739048126
134,2008,2,2,15,5,5,134,44.71114,-111.14138,4.121,0.8091492645313254
135,2008,2,2,20,17,53,135,44.78946,-110.9779,6.235,1.27266198717011
136,2008,2,3,6,57,45,136,44.7563,-110.77524,10.414,1.5604907832979251
137,2008,2,3,7,8,44,137,44.77123,-110.79191,1.501,0.835152209051654
138,2008,2,3,7,12,37,138,44.77105,-110.79217,1.418,0.9781301591555774
139,2008,2,3,7,16,35,139,44.77154,-110.79223,0.378,0.8416089007723428
140,2008,2,3,7,16,55,140,44.75641,-110.77607,10.375,1.6162929305748068
141,2008,2,3,7,33,50,141,44.77064,-110.79397,1.532,0.9479950480404687
142,2008,2,3,7,37,18,142,44.77095,-110.792,1.403,1.059334990511129
143,2008,2,3,7,42,19,143,44.7563,-110.77524,10.414,1.907062098775801
144,2008,2,3,7,58,45,144,44.77109,-110.79312,1.625,0.8877683215420668
145,2008,2,3,8,1,7,145,44.77126,-110.79165,1.481,1.2028920581292109
146,2008,2,3,8,37,34,146,44.76975,-110.7966,4.327,0.95790069358341
147,2008,2,3,8,58,1,147,44.77067,-110.79216,1.281,1.385394777881587
148,2008,2,3,9,0,11,148,44.77059,-110.79113,1.311,0.9047439946786836
149,2008,2,3,9,8,14,149,44.77081,-110.79042,1.332,0.8693738997508914
150,2008,2,3,9,13,44,150,44.77069,-110.79037,1.313,1.0258435102287484
151,2008,2,3,9,48,14,151,44.771,-110.79014,1.459,1.129601664394037
152,2008,2,3,12,29,48,152,44.77047,-110.7926,1.071,1.0086508044779574
153,2008,2,3,13,17,51,153,44.77063,-110.79116,1.235,1.0477894038280846
154,2008,2,3,20,38,40,154,44.62475,-110.92988,7.813,2.261611318280731
155,2008,2,4,1,42,17,155,44.66767,-110.02524,11.144,1.7103995140646473
156,2008,2,6,23,20,17,156,44.78951,-110.97811,6.214,0.907648384151253
157,2008,2,11,2,41,56,157,44.5471,-110.81313,1.357,0.926504125736045
158,2008,2,11,2,50,7,158,44.54708,-110.81257,1.971,1.1687202197882351
159,2008,2,11,2,58,56,159,44.54708,-110.81296,2.327,0.8006047057723485
160,2008,2,11,16,11,29,160,44.53864,-110.46707,1.312,0.9385353958780048
161,2008,2,12,1,44,35,161,44.57285,-110.83832,6.654,0.8407894370514365
162,2008,2,12,1,46,37,162,44.57274,-110.83835,6.68,1.3070960349111065
163,2008,2,12,3,15,14,163,44.5723,-110.83929,6.526,1.20962404744849
164,2008,2,12,3,17,39,164,44.57232,-110.83922,6.524,0.997307727392618
165,2008,2,12,3,28,46,165,44.57234,-110.83929,6.545,1.249838705487252
166,2008,2,12,3,55,53,166,44.57221,-110.83929,6.526,1.418844823382752
167,2008,2,12,4,27,59,167,44.57283,-110.83877,6.638,1.297457410903767
168,2008,2,12,5,20,28,168,44.58813,-110.37232,2.133,1.2680199144843312
169,2008,2,12,5,48,47,169,44.58768,-110.37286,2.019,1.0813298360492325
170,2008,2,12,5,50,48,170,44.58784,-110.36094,-0.657,0.8708962125133317
171,2008,2,12,9,7,55,171,44.5723,-110.83929,6.526,1.3448754552838875
172,2008,2,12,9,10,50,172,44.57198,-110.83937,6.542,0.8057270041877281
173,2008,2,15,5,40,18,173,44.56263,-110.81569,1.492,1.1665677144000968
174,2008,2,15,5,44,35,174,44.55708,-110.80495,7.622,1.2495935998947438
175,2008,2,15,5,46,59,175,44.56294,-110.81587,1.62,1.1042020051435286
176,2008,2,15,5,47,18,176,44.56347,-110.8163,1.476,0.840982824572821
177,2008,2,15,5,49,11,177,44.55841,-110.80491,7.457,0.9325246431290972
178,2008,2,15,5,52,57,178,44.55652,-110.80458,7.576,1.384600330661116
179,2008,2,15,5,53,7,179,44.56327,-110.81554,1.073,1.2549318533169698
180,2008,2,15,5,54,4,180,44.558,-110.80438,7.484,1.4050350644666212
181,2008,2,15,5,54,30,181,44.55868,-110.80493,7.57,1.5676632998888216
182,2008,2,15,5,58,20,182,44.55781,-110.80511,7.606,0.8981551377620057
183,2008,2,15,6,14,41,183,44.55815,-110.80488,7.476,0.9357417919580234
184,2008,2,15,6,25,17,184,44.55832,-110.80532,8.091,0.9856653966926648
185,2008,2,16,14,8,33,185,44.26737,-110.80872,3.7,0.90955361170003
186,2008,2,16,21,22,4,186,44.36787,-110.80446,1.414,0.9676041267121556
187,2008,2,16,22,42,55,187,44.73408,-110.20196,9.55,0.8668164096582224
188,2008,2,17,12,4,27,188,44.57326,-110.6306,2.983,1.9563437328453912
189,2008,2,19,8,14,29,189,44.71025,-111.22849,8.344,1.212795474056623
190,2008,2,19,8,34,6,190,44.70976,-111.22864,8.333,0.8392371604417604
191,2008,2,19,18,11,1,191,44.57111,-110.37057,1.147,1.0975202125904606
192,2008,2,20,9,2,13,192,44.47256,-110.6076,2.898,0.9005323335848626
193,2008,2,20,9,4,45,193,44.47256,-110.6076,2.898,0.8102551418423941
194,2008,2,21,3,34,43,194,44.74073,-111.12383,4.558,1.170717776784606
195,2008,2,22,16,19,10,195,44.66426,-110.46839,1.503,1.03273389057741
